customer_id,name,phone,email,gender,age,location
84,Lisa Hicks,(616)459-8640x7181,grace76@gmail.com,Male,27,Lekki
85,Alyssa Sullivan,842-880-6375x9640,jacksonkevin@gmail.com,Male,46,Lekki
86,Jacqueline Mcpherson,1997453086,uortega@garcia.info,Female,29,Surulere
87,Jim Zamora,(539)287-0820x3553,charlotte07@yahoo.com,Male,37,Lekki
88,Hannah Knight,+1-718-971-8222x51138,amanda21@morgan.com,Male,39,Lekki
89,Brian Baker,(392)671-8677x348,anthony53@hotmail.com,Female,49,Ikeja
90,Harold Wood,1788435724,jodi01@yahoo.com,Male,44,Ikeja
91,Alicia Reese,425-519-0437,lnelson@gmail.com,Male,54,Victoria Island
92,Jason Evans,475-413-7534x787,grantcraig@hotmail.com,Female,31,Lekki
93,Michele Leon,232-078-4756x06166,gfranklin@myers.com,Male,21,Surulere
94,Heidi Smith MD,071.554.5899x93873,robinsongregory@hoover.com,Female,60,Victoria Island
95,Steven Olson,471-578-7427x92151,grantwoods@gmail.com,Female,30,Yaba
96,James Hart,(021)863-1116x92746,logan68@anderson-dixon.org,Male,49,Ikeja
97,Austin Ramsey,001-371-360-7987x0938,courtneyvazquez@yahoo.com,Female,23,Ikeja
98,Rebecca Lopez,+1-570-250-9163x72028,tthompson@miller.net,Female,52,Ikeja
99,Morgan Meyer,9173950695,anthony33@gmail.com,Male,58,Yaba
100,Nancy Dunn,446-462-9726x30707,carlos74@johnson.com,Male,49,Lekki
